x,y,z
1123211.70749,1777783.52694,3838.28443936
1123211.64405,1777788.45105,3838.32422637
1123209.79135,1777784.65507,3838.29908286
1123210.17597,1777779.56528,3838.25338811
1123213.37069,1777780.335,3838.25062678
1123215.01072,1777783.36255,3838.26980828
1123213.31638,1777785.81744,3838.29756654
1123101.80775,1778549.91982,3840.80476076
1123100.55656,1778554.56495,3840.82486789
1123099.81723,1778550.24187,3840.85796894
1123100.41027,1778545.65596,3840.85205082
1123102.73691,1778545.35078,3840.78629743
1123101.97903,1778554.56495,3840.78447981
1123103.58545,1778550.7572,3840.74753787
1123107.9139,1778558.82892,3840.53516404
1123109.17282,1778559.26813,3840.4628085
1123108.19606,1778564.2058,3840.4742053
1123108.71072,1778553.9372,3840.52407222
1123109.97095,1778554.56495,3840.44846428
1123110.52899,1778558.11237,3840.38432884
1123109.59513,1778563.44893,3840.39569141
1123113.44034,1778560.10516,3839.79574765
1123113.64569,1778559.22925,3839.86240226
1123114.10682,1778554.59752,3839.79590053
1123112.9949,1778563.72379,3839.86285489
1123112.94105,1778563.47393,3839.79574765
1123113.49071,1778558.53757,3839.7375813
1123112.69282,1778563.77058,3839.73126135
1123110.31166,1778558.49249,3839.33557275
1123109.20609,1778559.05118,3839.2601114
1123109.305,1778563.4961,3839.32769546
1123201.87401,1778372.8669,3841.98816187
1123201.58167,1778376.3852,3842.01386588
1123200.3625,1778372.56804,3842.05961835
1123201.57902,1778380.22423,3841.99292508
1123200.27408,1778380.07643,3842.05764077
1123202.63185,1778376.72339,3841.94224099
1123191.65329,1778384.54968,3842.10683229
1123189.89485,1778385.08947,3842.06435261
1123190.19635,1778380.16966,3842.12661782
1123194.4271,1778384.72362,3842.12539572
1123192.50406,1778386.90491,3842.07733479
1123189.66013,1778417.04202,3840.67081097
1123186.53182,1778417.87526,3840.65933336
1123187.98654,1778415.50379,3840.72929835
1123191.29602,1778415.02686,3840.72573432
1123192.91113,1778416.55595,3840.66529394
1123189.71859,1778419.29071,3840.59109407
1123188.11796,1778418.53422,3840.62843515
1123191.65882,1778418.41883,3840.61011303
1123202.65964,1778381.57106,3841.87887206
1123201.25337,1778386.04048,3841.88127441
1123201.36753,1778384.41678,3841.93390458
1123203.33231,1778376.46097,3841.87012861
1123202.31397,1778380.8397,3841.93390458
1123203.27112,1778380.53639,3841.80242629
1123202.11785,1778384.94109,3841.80136495
1123256.15388,1778322.47756,3838.60028398
1123254.70115,1778322.32875,3838.6692096
1123254.43963,1778317.8026,3838.59022191
1123257.65631,1778327.00567,3838.59885476
1123256.23683,1778326.78526,3838.66882336
1123255.83929,1778318.53003,3838.52655802
1123257.52169,1778322.7062,3838.52249001
1123189.69108,1778425.92428,3840.12970725
1123186.5408,1778426.08192,3840.1297496
